Major,Starting,Mid,Percent,10th,75th,90th
Accounting,"$46,000.00 ","$77,100.00 ",67.6,"$42,200.00 ","$108,000.00 ","$152,000.00 "
Agriculture,"$42,600.00 ","$71,900.00 ",68.8,"$36,300.00 ","$96,300.00 ","$150,000.00 "
Architecture,"$41,600.00 ","$76,800.00 ",84.6,"$50,600.00 ","$97,000.00 ","$136,000.00 "
Computer Science,"$55,900.00 ","$95,500.00 ",70.8,"$56,000.00 ","$122,000.00 ","$154,000.00 "
Construction,"$53,700.00 ","$88,900.00 ",65.5,"$56,300.00 ","$118,000.00 ","$171,000.00 "
Criminal Justice,"$35,000.00 ","$56,300.00 ",60.9,"$32,200.00 ","$80,700.00 ","$107,000.00 "
Drama/Film,"$35,900.00 ","$56,900.00 ",58.5,"$36,700.00 ","$79,100.00 ","$153,000.00 "
Economics,"$50,100.00 ","$98,600.00 ",96.8,"$50,600.00 ","$145,000.00 ","$210,000.00 "
English,"$38,000.00 ","$64,700.00 ",70.3,"$33,400.00 ","$93,200.00 ","$133,000.00 "
Finance,"$47,900.00 ","$88,300.00 ",84.3,"$47,200.00 ","$128,000.00 ","$195,000.00 "
History,"$39,200.00 ","$71,000.00 ",81.1,"$37,000.00 ","$103,000.00 ","$149,000.00 "
Hospitality & Tourism,"$37,800.00 ","$57,500.00 ",52.1,"$35,500.00 ","$81,900.00 ","$124,000.00 "
Interior Design,"$36,100.00 ","$53,200.00 ",47.4,"$35,700.00 ","$72,500.00 ","$107,000.00 "
International Relations,"$40,900.00 ","$80,900.00 ",97.8,"$38,200.00 ","$111,000.00 ","$157,000.00 "
Journalism,"$35,600.00 ","$66,700.00 ",87.4,"$38,400.00 ","$97,700.00 ","$145,000.00 "
Marketing,"$40,800.00 ","$79,600.00 ",95.1,"$42,100.00 ","$119,000.00 ","$175,000.00 "
Math,"$45,400.00 ","$92,400.00 ",103.5,"$45,200.00 ","$128,000.00 ","$183,000.00 "
Music,"$35,900.00 ","$55,000.00 ",53.2,"$26,700.00 ","$88,000.00 ","$134,000.00 "
Nursing,"$54,200.00 ","$67,000.00 ",23.6,"$47,600.00 ","$80,900.00 ","$98,300.00 "
Philosophy,"$39,900.00 ","$81,200.00 ",103.5,"$35,500.00 ","$127,000.00 ","$168,000.00 "
Political Science,"$40,800.00 ","$78,200.00 ",91.7,"$41,200.00 ","$114,000.00 ","$168,000.00 "
Psychology,"$35,900.00 ","$60,400.00 ",68.2,"$31,600.00 ","$87,500.00 ","$127,000.00 "
